,Kidney L,Kidney R,Liver,Aorta,Aorta wall,Ventricle,Myocardium,Gall bladder,Pancreas
Kidney L,,-1.4130054731094006,-9.073718428171352,0.597226440411286,-0.6033330823782749,0.5144545969016955,-0.15109088873508883,-1.950075412021077,0.7705852494672927
Kidney R,-1.4130054731094006,,-9.990042808272122,0.029864449175265144,-1.3237890328045527,0.07484244131292059,0.11518293051910136,-1.3439561380852105,0.1823936716951776
Liver,-9.073718428171352,-9.990042808272122,,-5.701608031486464,-7.1229282198927555,-6.97211017301115,-6.667557888292191,0.2989313243310789,-6.312981295468466
Aorta,0.597226440411286,0.029864449175265144,-5.701608031486464,,0.6681218664216105,0.22173340989399515,-0.06735824945693948,-2.4342115779087075,1.106792914288074
Aorta wall,-0.6033330823782749,-1.3237890328045527,-7.1229282198927555,0.6681218664216105,,-2.3885367007653433,-0.39198406236193034,-5.220773723143784,1.3549336203137603
Ventricle,0.5144545969016955,0.07484244131292059,-6.97211017301115,0.22173340989399515,-2.3885367007653433,,0.05873298184178869,-2.3870162715113508,0.6287388546261249
Myocardium,-0.15109088873508883,0.11518293051910136,-6.667557888292191,-0.06735824945693948,-0.39198406236193034,0.05873298184178869,,-0.6046579167549085,-0.34122606872583433
Gall bladder,-1.950075412021077,-1.3439561380852105,0.2989313243310789,-2.4342115779087075,-5.220773723143784,-2.3870162715113508,-0.6046579167549085,,-2.942766873366117
Pancreas,0.7705852494672927,0.1823936716951776,-6.312981295468466,1.106792914288074,1.3549336203137603,0.6287388546261249,-0.34122606872583433,-2.942766873366117,
